"soe","total_arrivals","total_male_arrivals","total_female_arrivals","total_population"
"Johor",39921317,22336483,17584834,162811.4
"Kedah",2654195,1622332,1031863,86822.5
"Kelantan",1170079,607109,562970,73470.2
"Melaka",140659,63397,77262,40692
"Negeri Sembilan",180482,117076,63406,48613.9
"Pahang",18038,9990,8048,64948.3
"Perak",483414,227117,256297,101096.9
"Perlis",1722362,1083992,638370,11618.5
"Pulau Pinang",2170037,1013506,1156531,70353.9
"Sabah",933012,428213,504799,140684.5
"Sarawak",3821044,2086594,1734450,99306.4
"Selangor",17315457,10032930,7282527,285061.1
"Terengganu",263,222,41,47591.2
"W.P. Labuan",47536,30695,16841,3898.9
